timestamp,Heidelberg,Bamberg,Eberbach
2023-02-08 08:53:36.635210,stagnierend,zunehmend,None
2023-02-08 08:53:59.858284,stagnierend,zunehmend,None
2023-02-08 08:54:18.495229,stagnierend,zunehmend,None
2023-02-08 08:54:38.168177,stagnierend,zunehmend,None
2023-02-08 08:54:58.059188,stagnierend,zunehmend,None
2023-02-08 08:57:33.879097,stagnierend,zunehmend,None
2023-02-08 09:02:51.769022,stagnierend,zunehmend,None
2023-02-08 09:19:57.464599,stagnierend,zunehmend,None
2023-02-08 09:25:22.734319,stagnierend,zunehmend,None
2023-02-08 09:25:32.057004,stagnierend,zunehmend,None
2023-02-08 09:25:41.567279,stagnierend,zunehmend,None
2023-02-08 09:25:51.359009,stagnierend,zunehmend,None
2023-02-08 09:26:00.736182,stagnierend,zunehmend,None
2023-02-08 09:26:09.680064,stagnierend,zunehmend,None
2023-02-08 09:26:19.225055,stagnierend,zunehmend,None
2023-02-08 09:26:38.725228,stagnierend,zunehmend,None
2023-02-08 09:26:29.064186,stagnierend,zunehmend,None
2023-02-08 09:26:48.535337,stagnierend,zunehmend,None
2023-02-09 18:08:22.591169,abnehmend,abnehmend,None
2023-02-09 18:08:44.589965,abnehmend,abnehmend,None
2023-02-09 18:16:14.501457,"('abnehmend', 'wenige vorhanden')","('abnehmend', 'wenige vorhanden')",None
2023-02-09 18:16:57.002140,"('abnehmend', 'wenige vorhanden')","('abnehmend', 'wenige vorhanden')",None
2023-02-09 18:17:18.592137,"('abnehmend', 'wenige vorhanden')","('abnehmend', 'wenige vorhanden')",None
2023-02-13 08:25:26.403279,"('increasing', 'keine vorhanden')","('increasing', 'wenige vorhanden')",None
2023-02-13 08:25:35.113259,"('increasing', 'keine vorhanden')","('increasing', 'wenige vorhanden')",None
2023-02-16 10:45:41.962618,"('stagnierend', 'keine vorhanden')","('stagnierend', 'wenige vorhanden')",None
2023-02-16 10:45:56.364437,"('stagnierend', 'keine vorhanden')","('stagnierend', 'wenige vorhanden')",None
2023-02-16 10:46:51.571396,"('stagnierend', 'keine vorhanden')","('stagnierend', 'keine vorhanden')","('stagnierend', 'wenige vorhanden')"
2023-02-16 10:57:35.149164,"('stagnierend', 'keine vorhanden')","('stagnierend', 'keine vorhanden')","('stagnierend', 'keine vorhanden')"
2023-02-16 10:57:59.279174,"('stagnierend', 'keine vorhanden')","('stagnierend', 'keine vorhanden')","('stagnierend', 'keine vorhanden')"
2023-02-16 10:59:04.040526,"('stagnierend', 'keine vorhanden')","('stagnierend', 'keine vorhanden')","('stagnierend', 'wenige vorhanden')"
2023-02-16 10:59:28.956035,"('stagnierend', 'keine vorhanden')","('stagnierend', 'keine vorhanden')","('stagnierend', 'wenige vorhanden')"
2023-03-02 14:29:21.023907,"('stagnierend', 'keine vorhanden')","('stagnierend', 'keine vorhanden')","('stagnierend', 'keine vorhanden')"
2023-03-02 14:29:48.551638,"('stagnierend', 'keine vorhanden')","('stagnierend', 'keine vorhanden')","('stagnierend', 'keine vorhanden')"
2023-03-02 14:30:33.493990,"('stagnierend', 'keine vorhanden')","('stagnierend', 'keine vorhanden')","('stagnierend', 'keine vorhanden')"
2023-03-02 14:34:13.547237,"('stagnierend', 'keine vorhanden')","('stagnierend', 'keine vorhanden')","('stagnierend', 'keine vorhanden')"
2023-03-02 14:37:23.837145,"('stagnierend', 'keine vorhanden')","('stagnierend', 'keine vorhanden')","('stagnierend', 'keine vorhanden')"
2023-03-02 14:44:55.274529,"('stagnierend', 'keine vorhanden')","('stagnierend', 'keine vorhanden')","('stagnierend', 'wenige vorhanden')"
2023-03-02 14:52:25.703910,"('stagnierend', 'keine vorhanden')","('stagnierend', 'keine vorhanden')","('stagnierend', 'wenige vorhanden')"
2023-03-02 15:05:30.321405,"('stagnierend', 'wenige vorhanden')","('stagnierend', 'keine vorhanden')","('stagnierend', 'wenige vorhanden')"
2023-03-02 15:05:54.111637,"('stagnierend', 'wenige vorhanden')","('stagnierend', 'keine vorhanden')","('stagnierend', 'wenige vorhanden')"
2023-03-02 15:07:05.648395,"('stagnierend', 'wenige vorhanden')","('stagnierend', 'keine vorhanden')","('stagnierend', 'wenige vorhanden')"
2023-03-02 15:08:06.389252,"('abnehmend', 'wenige vorhanden')","('stagnierend', 'keine vorhanden')","('stagnierend', 'wenige vorhanden')"
2023-03-02 15:09:25.052442,"('stagnierend', 'wenige vorhanden')","('stagnierend', 'keine vorhanden')","('stagnierend', 'wenige vorhanden')"
2023-03-02 15:10:06.241451,"('abnehmend', 'wenige vorhanden')","('stagnierend', 'keine vorhanden')","('stagnierend', 'wenige vorhanden')"
2023-03-02 15:12:21.146546,"('abnehmend', 'wenige vorhanden')","('stagnierend', 'keine vorhanden')","('stagnierend', 'wenige vorhanden')"
2023-03-02 15:19:05.395139,"('stagnierend', 'wenige vorhanden')","('stagnierend', 'keine vorhanden')","('stagnierend', 'wenige vorhanden')"
2023-03-02 15:19:32.188493,"('stagnierend', 'wenige vorhanden')","('stagnierend', 'keine vorhanden')","('stagnierend', 'wenige vorhanden')"
2023-03-02 15:22:19.096329,"('stagnierend', 'wenige vorhanden')","('stagnierend', 'keine vorhanden')","('stagnierend', 'wenige vorhanden')"
2023-03-02 15:39:08.532433,"('stagnierend', 'wenige vorhanden')","('stagnierend', 'keine vorhanden')","('stagnierend', 'wenige vorhanden')"
2023-03-02 15:42:03.833236,"('stagnierend', 'wenige vorhanden')","('stagnierend', 'keine vorhanden')","('stagnierend', 'wenige vorhanden')"
2023-03-02 17:08:54.678970,"('abnehmend', 'wenige vorhanden')","('abnehmend', 'wenige vorhanden')","('abnehmend', 'wenige vorhanden')"
2023-03-02 17:09:17.756451,"('abnehmend', 'wenige vorhanden')","('abnehmend', 'wenige vorhanden')","('abnehmend', 'wenige vorhanden')"
2023-03-02 17:09:48.201535,"('abnehmend', 'wenige vorhanden')","('abnehmend', 'wenige vorhanden')","('abnehmend', 'wenige vorhanden')"
2023-03-04 08:44:04.118095,"('zunehmend', 'wenige vorhanden')","('zunehmend', 'wenige vorhanden')","('zunehmend', 'ausreichend vorhanden')"
2023-03-04 08:44:25.804226,"('zunehmend', 'wenige vorhanden')","('zunehmend', 'wenige vorhanden')","('zunehmend', 'ausreichend vorhanden')"
2023-03-04 09:16:14.489911,"('zunehmend', 'wenige vorhanden')","('zunehmend', 'wenige vorhanden')","('stagnierend', 'ausreichend vorhanden')"
2023-03-04 09:17:04.465316,"('zunehmend', 'wenige vorhanden')","('zunehmend', 'wenige vorhanden')","('stagnierend', 'ausreichend vorhanden')"
2023-03-04 16:09:01.784157,"('abnehmend', 'wenige vorhanden')","('stagnierend', 'keine vorhanden')","('stagnierend', 'wenige vorhanden')"
2023-03-04 16:09:21.288725,"('abnehmend', 'wenige vorhanden')","('stagnierend', 'keine vorhanden')","('stagnierend', 'wenige vorhanden')"
2023-03-04 16:10:04.005191,"('abnehmend', 'wenige vorhanden')","('stagnierend', 'keine vorhanden')","('stagnierend', 'wenige vorhanden')"
2023-03-04 16:11:23.385205,"('abnehmend', 'wenige vorhanden')","('stagnierend', 'keine vorhanden')","('stagnierend', 'wenige vorhanden')"
2023-03-04 16:11:48.001877,"('abnehmend', 'wenige vorhanden')","('stagnierend', 'keine vorhanden')","('stagnierend', 'wenige vorhanden')"
2023-03-04 16:13:07.174652,"('abnehmend', 'wenige vorhanden')","('stagnierend', 'keine vorhanden')","('stagnierend', 'wenige vorhanden')"
2023-03-04 16:17:50.218033,"('abnehmend', 'wenige vorhanden')","('stagnierend', 'keine vorhanden')","('stagnierend', 'wenige vorhanden')"
2023-03-04 16:19:51.286732,"('abnehmend', 'wenige vorhanden')","('stagnierend', 'keine vorhanden')","('stagnierend', 'wenige vorhanden')"
2023-03-04 16:20:14.859494,"('abnehmend', 'wenige vorhanden')","('stagnierend', 'keine vorhanden')","('stagnierend', 'wenige vorhanden')"
2023-03-04 16:25:37.967607,"('abnehmend', 'wenige vorhanden')","('stagnierend', 'keine vorhanden')","('stagnierend', 'wenige vorhanden')"
2023-03-04 16:26:03.186048,"('abnehmend', 'wenige vorhanden')","('stagnierend', 'keine vorhanden')","('stagnierend', 'wenige vorhanden')"
2023-03-04 16:27:13.862061,"('abnehmend', 'wenige vorhanden')","('stagnierend', 'keine vorhanden')","('stagnierend', 'wenige vorhanden')"
2023-03-04 16:34:32.170509,"('abnehmend', 'wenige vorhanden')","('stagnierend', 'keine vorhanden')","('stagnierend', 'wenige vorhanden')"
2023-03-04 16:35:19.301858,"('abnehmend', 'wenige vorhanden')","('stagnierend', 'keine vorhanden')","('stagnierend', 'wenige vorhanden')"
2023-03-04 16:51:08.184341,"('abnehmend', 'wenige vorhanden')","('stagnierend', 'keine vorhanden')","('stagnierend', 'wenige vorhanden')"
2023-03-04 16:51:27.546394,"('stagnierend', 'wenige vorhanden')","('stagnierend', 'keine vorhanden')","('stagnierend', 'wenige vorhanden')"
2023-03-04 16:53:15.642234,"('stagnierend', 'wenige vorhanden')","('stagnierend', 'keine vorhanden')","('stagnierend', 'wenige vorhanden')"
2023-03-04 16:53:37.852415,"('stagnierend', 'wenige vorhanden')","('stagnierend', 'keine vorhanden')","('stagnierend', 'wenige vorhanden')"
2023-03-04 16:54:03.630258,"('stagnierend', 'wenige vorhanden')","('stagnierend', 'keine vorhanden')","('stagnierend', 'wenige vorhanden')"
2023-03-04 16:56:33.738343,"('stagnierend', 'wenige vorhanden')","('stagnierend', 'keine vorhanden')","('stagnierend', 'wenige vorhanden')"
2023-03-04 17:03:28.342996,"('stagnierend', 'wenige vorhanden')","('stagnierend', 'keine vorhanden')","('stagnierend', 'wenige vorhanden')"
2023-03-04 17:03:46.724762,"('stagnierend', 'wenige vorhanden')","('stagnierend', 'keine vorhanden')","('stagnierend', 'wenige vorhanden')"
2023-03-04 17:04:19.451539,"('stagnierend', 'wenige vorhanden')","('stagnierend', 'keine vorhanden')","('stagnierend', 'wenige vorhanden')"
2023-03-04 17:05:10.736582,"('stagnierend', 'wenige vorhanden')","('stagnierend', 'keine vorhanden')","('stagnierend', 'wenige vorhanden')"
2023-03-04 17:05:34.359046,"('stagnierend', 'wenige vorhanden')","('stagnierend', 'keine vorhanden')","('stagnierend', 'wenige vorhanden')"
2023-03-04 17:06:05.644577,"('stagnierend', 'wenige vorhanden')","('stagnierend', 'keine vorhanden')","('stagnierend', 'wenige vorhanden')"
2023-03-04 17:07:09.257460,"('stagnierend', 'wenige vorhanden')","('stagnierend', 'keine vorhanden')","('stagnierend', 'wenige vorhanden')"
2023-03-04 17:08:43.928524,"('stagnierend', 'wenige vorhanden')","('stagnierend', 'keine vorhanden')","('stagnierend', 'wenige vorhanden')"
2023-03-04 17:09:52.127302,"('stagnierend', 'wenige vorhanden')","('stagnierend', 'keine vorhanden')","('stagnierend', 'wenige vorhanden')"
2023-03-04 17:10:59.924880,"('stagnierend', 'wenige vorhanden')","('stagnierend', 'keine vorhanden')","('stagnierend', 'wenige vorhanden')"
2023-03-04 17:13:28.623690,"('stagnierend', 'wenige vorhanden')","('stagnierend', 'keine vorhanden')","('stagnierend', 'wenige vorhanden')"
2023-03-04 20:04:39.093996,"('abnehmend', 'wenige vorhanden')","('stagnierend', 'keine vorhanden')","('stagnierend', 'wenige vorhanden')"
